taxon	dist	rank
580370	0.000122118	class
976	0.000163619	phylum
31957	0.000200824	family
713887	0.000224743	species
953	0.000412548	genus
1108	0.000473337	species
34105	0.000535955	species
182899	0.000693793	genus
1486721	0.000800101	family
173480	0.000913767	species
274	0.00112527	species
1223	0.00117749	species
72293	0.00128497	family
85016	0.00131213	family
1773	0.00135248	species
380240	0.00142148	genus
96345	0.00166259	species
1515	0.00175375	species
2	0.00179001	kingdom
420645	0.00182732	species
64	0.00186179	genus
520	0.00228398	species
135616	0.00261919	family
1629	0.0028783	species
2019	0.00313915	genus
1760	0.00322406	class
1457141	0.00324517	species
61435	0.00335722	species
111504	0.00370875	species
71667	0.00391718	species
485	0.00398442	species
953	0.000412548	genus
851	0.00468765	species
1073414	0.00480341	species
1239	0.00527053	phylum
65496	0.00543748	genus
1299	0.00551449	species
1236	0.00566812	class
1562970	0.00583496	species
1643951	0.00607289	genus
97050	0.00620518	genus
139	0.0075398	species
1160	0.00754743	species
283734	0.00758416	species
188708	0.00772138	class
31998	0.00810291	species
1681	0.00833058	species
976	0.000163619	phylum
134627	0.00840595	family
33001	0.00855982	genus
2057	0.00883145	species
1639	0.00886142	species
738	0.00909199	species
338191	0.009259677	genus
43080	0.009329546	species
1766	0.00939284	species
562	0.00947308	species
2756	0.00977556	species
1400857	0.00979242	family
31998	0.00810291	species
2285	0.010205313	species
398743	0.0102161	species
134627	0.00840595	family
277988	0.010483746	species
68909	0.0104969	species
2285	0.010205313	species
216816	0.0107828	species
2285	0.010205313	species
2335	0.0111028	genus
2287	0.011243566	species
82115	0.0112986	family
667126	0.011584994	species
1705564	0.011627976	species
2005473	0.0116829	family
1706372	0.0118401	family
1600	0.0118868	species
1935192	0.0120064	genus
549685	0.0120724	species
224999	0.0122426	species
91347	0.0122836	order
2173	0.012389386	species
55211	0.0124593	species
194	0.0124795	genus
33889	0.0125124	species
551788	0.0125525	species
267408	0.0126925	genus
1351	0.013505	species
64988	0.0141692	species
1239	0.00527053	phylum
267408	0.0126925	genus
28453	0.0143325	genus
1653	0.0149735	family
662	0.0151087	genus
57495	0.0153259	genus
459786	0.0153692	genus
818	0.0154938	species
1280	0.0155639	species
2207	0.016377064	genus
454602	0.0165386	species
35786	0.0169037	species
397864	0.016928	genus
562	0.00947308	species
57493	0.0172783	genus
672	0.017591	species
28890	0.017796261	phylum
22	0.0179031	class
2	0.00179001	kingdom
2	0.00179001	kingdom
43080	0.009329546	species
1365176	0.018195425	species
59732	0.0182715	genus
1385	0.0188885	order
57495	0.0153259	genus
1117645	0.0194801	species
469	0.0195301	genus
1246	0.019606	species
28453	0.0143325	genus
2173	0.012389386	species
85006	0.0203414	order
197	0.0206378	species
43080	0.009329546	species
28108	0.0212508	species
191393	0.0213965	order
1196095	0.0214973	species
651137	0.021502154	phylum
133814	0.021555428	order
823	0.0217273	species
47229	0.0219773	species
1867258	0.022239411	species
43668	0.0223332	genus
649776	0.0234479	order
1224	0.0238972	phylum
135575	0.0241086	genus
548	0.0241238	species
2053	0.0242578	genus
1730	0.0243927	genus
507753	0.024400409	genus
189426	0.0245539	species
32	0.025399	genus
995019	0.0259001	family
183	0.0273657	species
102234	0.0285204	genus
1892263	0.0285562	family
1224	0.0238972	phylum
654	0.0296252	species
2275	0.03156216	species
1007084	0.031894266	species
49894	0.0320099	genus
29549	0.0321309	species
2	0.00179001	kingdom
286	0.0332491	genus
173365	0.0337837	species
1126	0.0339687	species
55802	0.034525996	species
158836	0.0348573	species
1126	0.0339687	species
668	0.0351863	species
1649	0.0352134	genus
1890426	0.0353016	family
29521	0.0357229	genus
568	0.035954	genus
568	0.035954	genus
