Rank	Taxon	Count
kingdom	2	9906
kingdom	2157	669
phylum	976	834
phylum	1090	16
phylum	1117	295
phylum	1224	2975
phylum	1239	1948
phylum	1297	41
phylum	28889	167
phylum	28890	407
phylum	32066	36
phylum	40117	55
phylum	51967	1
phylum	57723	56
phylum	62680	18
phylum	65842	25
phylum	67810	7
phylum	67812	37
phylum	67814	2
phylum	67817	8
phylum	67818	4
phylum	67819	9
phylum	67820	5
phylum	68297	2
phylum	74015	2
phylum	74152	29
phylum	74201	55
phylum	95818	18
phylum	134625	1
phylum	142182	8
phylum	142187	5
phylum	200783	17
phylum	200795	147
phylum	200918	35
phylum	200930	8
phylum	200938	2
phylum	200940	10
phylum	201174	1097
phylum	203682	63
phylum	203691	135
phylum	204428	106
phylum	221216	10
phylum	256845	9
phylum	265317	3
phylum	422282	62
phylum	456828	10
phylum	508458	30
phylum	544448	66
phylum	640293	3
phylum	651137	49
phylum	743725	1
phylum	928852	14
phylum	1052197	7
phylum	1052815	3
phylum	1134404	26
phylum	1293497	16
phylum	1379697	8
phylum	1383058	3
phylum	1462430	1
phylum	1618330	8
phylum	1618339	6
phylum	1618340	3
phylum	1619053	60
phylum	1655434	1
phylum	1703755	2
phylum	1704031	1
phylum	1706441	3
phylum	1729712	1
phylum	1752716	2
phylum	1752717	17
phylum	1752718	36
phylum	1752719	37
phylum	1752720	23
phylum	1752721	6
phylum	1752722	82
phylum	1752723	69
phylum	1752724	11
phylum	1752725	30
phylum	1752726	14
phylum	1752727	1
phylum	1752728	23
phylum	1752729	63
phylum	1752730	30
phylum	1752731	45
phylum	1752732	57
phylum	1752733	42
phylum	1752734	48
phylum	1752735	20
phylum	1752736	5
phylum	1752737	41
phylum	1752738	46
phylum	1752739	8
phylum	1752740	6
phylum	1752741	23
phylum	1801616	1
phylum	1801631	2
phylum	1802339	2
phylum	1817796	1
phylum	1817797	1
phylum	1817798	1
phylum	1817799	19
phylum	1817800	1
phylum	1817801	1
phylum	1817802	1
phylum	1817803	1
phylum	1817804	1
phylum	1817805	3
phylum	1817807	1
phylum	1817808	1
phylum	1817809	1
phylum	1817810	1
phylum	1817811	8
phylum	1817812	1
phylum	1817898	7
phylum	1817899	10
phylum	1817900	4
phylum	1817901	8
phylum	1817902	1
phylum	1817903	10
phylum	1817904	7
phylum	1817905	9
phylum	1817906	8
phylum	1817907	4
phylum	1817908	8
phylum	1817909	10
phylum	1817910	12
phylum	1817911	7
phylum	1817912	1
phylum	1817913	4
phylum	1817914	11
phylum	1817915	6
phylum	1817916	24
phylum	1817917	19
phylum	1817918	2
phylum	1817919	37
phylum	1817920	6
phylum	1817921	3
phylum	1817922	2
phylum	1817923	11
phylum	1817924	6
phylum	1817925	31
phylum	1817926	1
phylum	1819803	1
phylum	1855361	21
phylum	1915410	4
phylum	1930617	2
phylum	1936271	1
phylum	1936987	4
class	1236	1293
class	1760	998
class	28211	890
class	28216	331
class	28221	317
class	29547	110
class	31969	48
class	32061	10
class	67799	10
class	68337	8
class	84992	13
class	84995	3
class	84998	63
class	91061	1035
class	117743	291
class	117747	78
class	118001	2
class	134549	3
class	183924	156
class	183925	34
class	183939	19
class	183963	99
class	183967	25
class	183968	38
class	183980	21
class	183988	1
class	186801	716
class	187857	17
class	188708	35
class	188787	41
class	189775	4
class	191410	13
class	200643	261
class	203486	2
class	203490	36
class	203494	22
class	203683	34
class	203692	127
class	203693	19
class	204429	91
class	204430	22
class	204432	21
class	219685	4
class	224756	132
class	292625	20
class	296141	1
