,Taxonomic_Rank,Taxon,Reference_Count,Distance_to_closest,Precision,Recall,F1,Method
0,class,28889,167,0.011243566,0.9999632236176813,0.8157353932624712,0.8984981245144568,Kraken-II (4Gb)
1,family,28889,167,0.011243566,0.999963216177451,0.8155703891373929,0.8983980191425863,Kraken-II (4Gb)
2,genus,28889,167,0.011243566,0.864754476914237,0.788404185278875,0.8248112421068725,Kraken-II (4Gb)
3,order,28889,167,0.011243566,0.9999632209124913,0.8156753917624427,0.8984617246661702,Kraken-II (4Gb)
4,phylum,28889,167,0.011243566,0.9999632236176813,0.8157353932624712,0.8984981245144568,Kraken-II (4Gb)
5,species,28889,167,0.011243566,0.9787274094338337,0.712734196388007,0.8248113550884085,Kraken-II (4Gb)
6,superkingdom,28889,167,0.011243566,0.9999632236176813,0.8157353932624712,0.8984981245144568,Kraken-II (4Gb)
7,class,28890,407,0.97194198,0.0,0.0,0.0,Kraken-II (4Gb)
8,family,28890,407,0.97194198,0.0,0.0,0.0,Kraken-II (4Gb)
9,genus,28890,407,0.97194198,0.0,0.0,0.0,Kraken-II (4Gb)
10,order,28890,407,0.97194198,0.0,0.0,0.0,Kraken-II (4Gb)
11,phylum,28890,407,0.97194198,0.4428570795918457,0.0004652698564469487,0.0009295421374263827,Kraken-II (4Gb)
12,species,28890,407,0.97194198,0.0,0.0,0.0,Kraken-II (4Gb)
13,superkingdom,28890,407,0.97194198,0.6249999218750097,0.00075033389847227,0.0014988444011858047,Kraken-II (4Gb)
14,class,28890,407,0.143912952,0.9941887123502238,0.09757012710718004,0.17769900646870337,Kraken-II (4Gb)
15,family,28890,407,0.143912952,0.9951017893845067,0.09756134162263655,0.17769900781573095,Kraken-II (4Gb)
16,genus,28890,407,0.143912952,0.9924054541345235,0.09611516405534312,0.17525499318002555,Kraken-II (4Gb)
17,order,28890,407,0.143912952,0.9941887123502238,0.09757012710718004,0.17769900646870337,Kraken-II (4Gb)
18,phylum,28890,407,0.143912952,0.9963325168148953,0.0978347313149416,0.17817209094692882,Kraken-II (4Gb)
19,species,28890,407,0.143912952,0.0,0.0,0.0,Kraken-II (4Gb)
20,superkingdom,28890,407,0.143912952,0.9963347571833617,0.09789475262249676,0.17827165571999046,Kraken-II (4Gb)
21,class,28889,167,0.104570866,0.987322886000575,0.0198649662385799,0.038945944440559904,Kraken-II (4Gb)
22,family,28889,167,0.104570866,0.9838461462781066,0.019190949191370682,0.0376471682947484,Kraken-II (4Gb)
23,genus,28889,167,0.104570866,0.9791344592029795,0.019012605039163775,0.037300535997700314,Kraken-II (4Gb)
24,order,28889,167,0.104570866,0.9841628885055589,0.019581070128802766,0.03839778139298436,Kraken-II (4Gb)
25,phylum,28889,167,0.104570866,0.987322886000575,0.0198649662385799,0.038945944440559904,Kraken-II (4Gb)
26,species,28889,167,0.104570866,0.0,0.0,0.0,Kraken-II (4Gb)
27,superkingdom,28889,167,0.104570866,0.9925705721205753,0.02004290621839523,0.03929199612235768,Kraken-II (4Gb)
28,class,28889,167,0.048820567,0.9997422202173661,0.40726072601151203,0.578751948972975,Kraken-II (4Gb)
29,family,28889,167,0.048820567,0.9997422202173661,0.40726072601151203,0.578751948972975,Kraken-II (4Gb)
30,genus,28889,167,0.048820567,0.9994463715215743,0.40627438030272545,0.5777058724919844,Kraken-II (4Gb)
31,order,28889,167,0.048820567,0.9997422202173661,0.40726072601151203,0.578751948972975,Kraken-II (4Gb)
32,phylum,28889,167,0.048820567,0.9997054054353715,0.4072668356250068,0.5787519488832072,Kraken-II (4Gb)
33,species,28889,167,0.048820567,0.0,0.0,0.0,Kraken-II (4Gb)
34,superkingdom,28889,167,0.048820567,0.9997790865243817,0.407344624231958,0.5788428394574437,Kraken-II (4Gb)
35,class,28890,407,0.020325247,0.9997400200893999,0.6346015361505938,0.7763770898343928,Kraken-II (4Gb)
36,family,28890,407,0.020325247,0.9997400200893999,0.6346015361505938,0.7763770898343928,Kraken-II (4Gb)
37,genus,28890,407,0.020325247,0.9997635596066194,0.6343519809420838,0.7761973958221314,Kraken-II (4Gb)
38,order,28890,407,0.020325247,0.9997400200893999,0.6346015361505938,0.7763770898343928,Kraken-II (4Gb)
39,phylum,28890,407,0.020325247,0.9997400876613249,0.6347665625547938,0.776500598888484,Kraken-II (4Gb)
40,species,28890,407,0.020325247,0.669316276054576,0.17570343318188134,0.27833617280405826,Kraken-II (4Gb)
41,superkingdom,28890,407,0.020325247,0.9997400876613249,0.6347665625547938,0.776500598888484,Kraken-II (4Gb)
42,class,28890,407,0.226798973,0.9665198152729532,0.016464302328345868,0.0323767439907412,Kraken-II (4Gb)
43,family,28890,407,0.226798973,0.9528130585044188,0.015762215714814648,0.031011094972810058,Kraken-II (4Gb)
44,genus,28890,407,0.226798973,0.042553191077822135,0.0006699453384487803,0.0013188176644976413,Kraken-II (4Gb)
45,order,28890,407,0.226798973,0.979464276969069,0.01646059660037504,0.032376748270461414,Kraken-II (4Gb)
46,phylum,28890,407,0.226798973,0.9747434808623245,0.018533803553908035,0.036375587351593415,Kraken-II (4Gb)
47,species,28890,407,0.226798973,0.0,0.0,0.0,Kraken-II (4Gb)
48,superkingdom,28890,407,0.226798973,0.9671361426671663,0.01855159474393222,0.03640450231344737,Kraken-II (4Gb)
49,class,28890,407,0.1203173,0.9962511703417863,0.12762061977525013,0.22625545307144268,Kraken-II (4Gb)
50,family,28890,407,0.1203173,0.9963678957277471,0.12761870458496627,0.22625545327707805,Kraken-II (4Gb)
51,genus,28890,407,0.1203173,0.9946821070731717,0.12633964754490412,0.22420022681634175,Kraken-II (4Gb)
52,order,28890,407,0.1203173,0.9963678957277471,0.12761870458496627,0.22625545327707805,Kraken-II (4Gb)
53,phylum,28890,407,0.1203173,0.9976602702413895,0.12795774751632363,0.22682157684900994,Kraken-II (4Gb)
54,species,28890,407,0.1203173,0.0,0.0,0.0,Kraken-II (4Gb)
55,superkingdom,28890,407,0.1203173,0.9981290914427864,0.12807009645345604,0.2270102044769592,Kraken-II (4Gb)
56,class,51967,1,1.080248207,0.0,0.0,0.0,Kraken-II (4Gb)
57,family,51967,1,1.080248207,0.0,0.0,0.0,Kraken-II (4Gb)
58,genus,51967,1,1.080248207,0.0,0.0,0.0,Kraken-II (4Gb)
