,Taxonomic_rank,Taxon,Reference_genome_in_phylum,Distance_to_closest,Precision,Recall,F1,Method
0,class,28889,167,0.011243566,0.9999999998493885,0.9959350201755088,0.9979583706299548,Kraken-II
1,family,28889,167,0.011243566,0.9999999998493885,0.9959350201755088,0.9979583706299548,Kraken-II
2,genus,28889,167,0.011243566,0.9790277892739437,0.8912837443988988,0.9330925599526254,Kraken-II
3,order,28889,167,0.011243566,0.9999999998493885,0.9959350201755088,0.9979583706299548,Kraken-II
4,phylum,28889,167,0.011243566,0.9999999998493885,0.9959350201755088,0.9979583706299548,Kraken-II
5,species,28889,167,0.011243566,0.9790277892739437,0.8912837443988988,0.9330925599526254,Kraken-II
6,kingdom,28889,167,0.011243566,0.9999999998493885,0.9959350201755088,0.9979583706299548,Kraken-II
7,class,28890,407,0.97194198,0.0,0.0,0.0,Kraken-II
8,family,28890,407,0.97194198,0.0,0.0,0.0,Kraken-II
9,genus,28890,407,0.97194198,0.0,0.0,0.0,Kraken-II
10,order,28890,407,0.97194198,0.0,0.0,0.0,Kraken-II
11,phylum,28890,407,0.97194198,0.39096437540430606,0.0068216960241909924,0.013409082275339986,Kraken-II
12,species,28890,407,0.97194198,0.0,0.0,0.0,Kraken-II
13,kingdom,28890,407,0.97194198,0.5042275134186971,0.009936081910584944,0.01948776024443752,Kraken-II
14,class,28890,407,0.143912952,0.9916367291301518,0.5198264432144409,0.6820881816445596,Kraken-II
15,family,28890,407,0.143912952,0.9917792466249555,0.5197872884530532,0.6820881819531462,Kraken-II
16,genus,28890,407,0.143912952,0.9883674054165368,0.5180266512958926,0.679765372373368,Kraken-II
17,order,28890,407,0.143912952,0.9916652293522833,0.5198186117902558,0.6820881817062692,Kraken-II
18,phylum,28890,407,0.143912952,0.9922171163146992,0.5203476112235152,0.6826741143953096,Kraken-II
19,species,28890,407,0.143912952,0.0,0.0,0.0,Kraken-II
20,kingdom,28890,407,0.143912952,0.9921103967775675,0.5208609470236081,0.6830904596870414,Kraken-II
21,class,28889,167,0.104570866,0.9575861078303577,0.15240108726179386,0.262950509470468,Kraken-II
22,family,28889,167,0.104570866,0.9365900374170594,0.14814029237964693,0.2558155499000032,Kraken-II
23,genus,28889,167,0.104570866,0.9332374091767507,0.1474738900202401,0.2546968420923469,Kraken-II
24,order,28889,167,0.104570866,0.9391969398286837,0.1487786039665038,0.2568644599263693,Kraken-II
25,phylum,28889,167,0.104570866,0.9562292743190628,0.1524507212215919,0.2629731360605482,Kraken-II
26,species,28889,167,0.104570866,0.0,0.0,0.0,Kraken-II
27,kingdom,28889,167,0.104570866,0.9631475030900184,0.15458317613661512,0.2664059792808473,Kraken-II
28,class,28889,167,0.048820567,0.9983744240949382,0.8302416749282422,0.9065735794855821,Kraken-II
29,family,28889,167,0.048820567,0.9985546781451907,0.8300569178923728,0.9065377115574446,Kraken-II
30,genus,28889,167,0.048820567,0.9977221366722006,0.829398415889542,0.9058018963052604,Kraken-II
31,order,28889,167,0.048820567,0.998536638062123,0.8300693838299238,0.9065377115423326,Kraken-II
32,phylum,28889,167,0.048820567,0.9983744240949382,0.8302416749282422,0.9065735794855821,Kraken-II
33,species,28889,167,0.048820567,0.0,0.0,0.0,Kraken-II
34,kingdom,28889,167,0.048820567,0.998212286287296,0.8304140126141067,0.9066094450761306,Kraken-II
35,class,28890,407,0.020325247,0.9981626237411293,0.930551590321916,0.9631670615733168,Kraken-II
36,family,28890,407,0.020325247,0.9983396200473386,0.9303978124916774,0.963167061633433,Kraken-II
37,genus,28890,407,0.020325247,0.9983394326666871,0.9302926505422912,0.963110620723446,Kraken-II
38,order,28890,407,0.020325247,0.9981626237411293,0.930551590321916,0.9631670615733168,Kraken-II
39,phylum,28890,407,0.020325247,0.9983401284388602,0.930683252068583,0.9633202274204608,Kraken-II
40,species,28890,407,0.020325247,0.6454475204120953,0.4539457655490066,0.5330130854012078,Kraken-II
